#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	Q	Q_MIN	Q_MAX
575230	2016-10-04 00:00:00	2016	2016	10	0.839	0.839	0.839
575230	2016-10-05 00:00:00	2016	2016	10	0.753	0.753	0.753
575230	2016-10-06 00:00:00	2016	2016	10	0.753	0.753	0.753
575230	2016-10-07 00:00:00	2016	2016	10	0.839	0.839	0.839
575230	2016-10-08 00:00:00	2016	2016	10	0.753	0.753	0.753
575230	2016-10-09 00:00:00	2016	2016	10	0.753	0.753	0.753
575230	2016-10-10 00:00:00	2016	2016	10	0.753	0.753	0.753
575230	2016-10-11 00:00:00	2016	2016	10	0.753	0.753	0.753
575230	2016-10-12 00:00:00	2016	2016	10	0.839	0.839	0.839
575230	2016-10-13 00:00:00	2016	2016	10	0.753	0.753	0.753
575230	2016-10-14 00:00:00	2016	2016	10	0.753	0.753	0.753
575230	2016-10-15 00:00:00	2016	2016	10	0.753	0.753	0.753
575230	2016-10-16 00:00:00	2016	2016	10	0.753	0.753	0.753
575230	2016-10-17 00:00:00	2016	2016	10	0.581	0.581	0.581
575230	2016-10-18 00:00:00	2016	2016	10	0.581	0.581	0.581
575230	2016-10-19 00:00:00	2016	2016	10	0.667	0.667	0.667
575230	2016-10-20 00:00:00	2016	2016	10	0.936	0.936	0.936
575230	2016-10-21 00:00:00	2016	2016	10	0.839	0.839	0.839
575230	2016-10-22 00:00:00	2016	2016	10	1.92	1.92	2.7
575230	2016-10-23 00:00:00	2016	2016	10	1.03	1.03	1.03
575230	2016-10-24 00:00:00	2016	2016	10	0.839	0.839	0.839
575230	2016-10-25 00:00:00	2016	2016	10	1.45	1.45	1.45
575230	2016-10-26 00:00:00	2016	2016	10	1.13	1.13	1.13
575230	2016-10-27 00:00:00	2016	2016	10	1.03	1.03	1.03
575230	2016-10-28 00:00:00	2016	2016	10	0.936	0.936	0.936
575230	2016-10-29 00:00:00	2016	2016	10	0.936	0.936	0.936
575230	2016-10-30 00:00:00	2016	2016	10	0.839	0.839	0.839
575230	2016-10-31 00:00:00	2016	2016	10	0.839	0.839	0.839
575230	2016-11-01 00:00:00	2016	2017	11	0.839	0.839	0.839
575230	2016-11-02 00:00:00	2016	2017	11	0.753	0.753	0.753
575230	2016-11-03 00:00:00	2016	2017	11	0.839	0.839	0.839
575230	2016-11-04 00:00:00	2016	2017	11	0.839	0.839	0.839
575230	2016-11-05 00:00:00	2016	2017	11	0.839	0.839	0.839
575230	2016-11-06 00:00:00	2016	2017	11	0.936	0.936	0.936
575230	2016-11-07 00:00:00	2016	2017	11	0.839	0.839	0.839
575230	2016-11-08 00:00:00	2016	2017	11	0.936	0.936	0.936
575230	2016-11-09 00:00:00	2016	2017	11	0.936	0.936	0.936
575230	2016-11-10 00:00:00	2016	2017	11	0.936	0.936	0.936
575230	2016-11-11 00:00:00	2016	2017	11	1.24	1.24	1.24
575230	2016-11-12 00:00:00	2016	2017	11	1.03	1.03	1.03
575230	2016-11-13 00:00:00	2016	2017	11	0.936	0.936	0.936
575230	2016-11-14 00:00:00	2016	2017	11	0.936	0.936	0.936
575230	2016-11-15 00:00:00	2016	2017	11	0.839	0.839	0.839
575230	2016-11-16 00:00:00	2016	2017	11	0.936	0.936	0.936
575230	2016-11-17 00:00:00	2016	2017	11	1.24	1.24	1.24
575230	2016-11-18 00:00:00	2016	2017	11	1.56	1.56	1.56
575230	2016-11-19 00:00:00	2016	2017	11	2.04	2.04	2.43
575230	2016-11-20 00:00:00	2016	2017	11	1.34	1.34	1.34
575230	2016-11-21 00:00:00	2016	2017	11	1.24	1.24	1.24
575230	2016-11-22 00:00:00	2016	2017	11	1.13	1.13	1.13
575230	2016-11-23 00:00:00	2016	2017	11	1.03	1.03	1.03
575230	2016-11-24 00:00:00	2016	2017	11	0.936	0.936	0.936
575230	2016-11-25 00:00:00	2016	2017	11	0.936	0.936	0.936
575230	2016-11-26 00:00:00	2016	2017	11	0.936	0.936	0.936
575230	2016-11-27 00:00:00	2016	2017	11	0.936	0.936	0.936
575230	2016-11-28 00:00:00	2016	2017	11	0.839	0.839	0.839
575230	2016-11-29 00:00:00	2016	2017	11	0.839	0.839	0.839
575230	2016-11-30 00:00:00	2016	2017	11	0.839	0.839	0.839
575230	2016-12-01 00:00:00	2016	2017	12	0.936	0.936	0.936
575230	2016-12-02 00:00:00	2016	2017	12	0.936	0.936	1.24
575230	2016-12-03 00:00:00	2016	2017	12	1.13	1.13	1.13
575230	2016-12-04 00:00:00	2016	2017	12	0.936	0.936	0.936
575230	2016-12-05 00:00:00	2016	2017	12	0.936	0.936	0.936
575230	2016-12-06 00:00:00	2016	2017	12	0.839	0.839	0.839
575230	2016-12-07 00:00:00	2016	2017	12	0.936	0.936	0.936
575230	2016-12-08 00:00:00	2016	2017	12	0.936	0.936	0.936
575230	2016-12-09 00:00:00	2016	2017	12	0.839	0.839	0.839
575230	2016-12-10 00:00:00	2016	2017	12	0.839	0.839	0.839
575230	2016-12-11 00:00:00	2016	2017	12	0.839	0.839	0.839
575230	2016-12-12 00:00:00	2016	2017	12	1.03	1.03	1.03
575230	2016-12-13 00:00:00	2016	2017	12	1.13	1.13	1.13
575230	2016-12-14 00:00:00	2016	2017	12	1.24	1.24	1.24
575230	2016-12-15 00:00:00	2016	2017	12	1.13	1.13	1.13
575230	2016-12-16 00:00:00	2016	2017	12	1.13	1.13	1.13
575230	2016-12-17 00:00:00	2016	2017	12	1.03	1.03	1.03
575230	2016-12-18 00:00:00	2016	2017	12	1.03	1.03	1.03
575230	2016-12-19 00:00:00	2016	2017	12	1.03	1.03	1.03
575230	2016-12-20 00:00:00	2016	2017	12	1.03	1.03	1.03
575230	2016-12-21 00:00:00	2016	2017	12	1.03	1.03	1.03
575230	2016-12-22 00:00:00	2016	2017	12	1.03	1.03	1.03
575230	2016-12-23 00:00:00	2016	2017	12	1.03	1.03	1.03
575230	2016-12-24 00:00:00	2016	2017	12	1.03	1.03	1.03
575230	2016-12-25 00:00:00	2016	2017	12	1.13	1.13	1.13
575230	2016-12-26 00:00:00	2016	2017	12	1.13	1.13	1.13
575230	2016-12-27 00:00:00	2016	2017	12	1.13	1.13	1.13
575230	2016-12-28 00:00:00	2016	2017	12	1.13	1.13	1.13
575230	2016-12-29 00:00:00	2016	2017	12	1.13	1.13	1.13
575230	2016-12-30 00:00:00	2016	2017	12	1.13	1.13	1.13
575230	2016-12-31 00:00:00	2016	2017	12	1.13	1.13	1.13
575230	2017-01-01 00:00:00	2017	2017	1	1.13	1.13	1.13
575230	2017-01-02 00:00:00	2017	2017	1	1.03	1.03	1.03
575230	2017-01-03 00:00:00	2017	2017	1	1.03	1.03	1.03
575230	2017-01-04 00:00:00	2017	2017	1	1.56	1.56	2.04
575230	2017-01-05 00:00:00	2017	2017	1	1.68	1.68	1.68
575230	2017-01-06 00:00:00	2017	2017	1	1.13	1.13	1.13
575230	2017-01-07 00:00:00	2017	2017	1	1.13	1.13	1.13
575230	2017-01-08 00:00:00	2017	2017	1	1.24	1.24	1.24
575230	2017-01-09 00:00:00	2017	2017	1	1.13	1.13	1.13
575230	2017-01-10 00:00:00	2017	2017	1	1.13	1.13	1.13
575230	2017-01-11 00:00:00	2017	2017	1	1.13	1.13	1.13
575230	2017-01-12 00:00:00	2017	2017	1	1.34	1.34	1.34
575230	2017-01-13 00:00:00	2017	2017	1	1.68	1.68	1.68
575230	2017-01-14 00:00:00	2017	2017	1	1.8	1.8	1.8
575230	2017-01-15 00:00:00	2017	2017	1	1.68	1.68	1.68
575230	2017-01-16 00:00:00	2017	2017	1	1.45	1.45	1.45
575230	2017-01-17 00:00:00	2017	2017	1	1.34	1.34	1.34
575230	2017-01-18 00:00:00	2017	2017	1	1.34	1.34	1.34
575230	2017-01-19 00:00:00	2017	2017	1	1.24	1.24	1.24
575230	2017-01-20 00:00:00	2017	2017	1	1.24	1.24	1.24
575230	2017-01-21 00:00:00	2017	2017	1	1.13	1.13	1.13
575230	2017-01-22 00:00:00	2017	2017	1	1.24	1.24	1.24
575230	2017-01-23 00:00:00	2017	2017	1	1.03	1.03	1.03
575230	2017-01-24 00:00:00	2017	2017	1	1.13	1.13	1.13
575230	2017-01-25 00:00:00	2017	2017	1	1.13	1.13	1.13
575230	2017-01-26 00:00:00	2017	2017	1	1.13	1.13	1.13
575230	2017-01-27 00:00:00	2017	2017	1	1.03	1.03	1.03
575230	2017-01-28 00:00:00	2017	2017	1	1.03	1.03	1.03
575230	2017-01-29 00:00:00	2017	2017	1	1.13	1.13	1.13
575230	2017-01-30 00:00:00	2017	2017	1	1.13	1.13	1.13
575230	2017-01-31 00:00:00	2017	2017	1	1.45	1.45	1.45
575230	2017-02-01 00:00:00	2017	2017	2	1.24	1.24	1.24
575230	2017-02-02 00:00:00	2017	2017	2	1.03	1.03	1.03
575230	2017-02-03 00:00:00	2017	2017	2	1.45	1.45	1.45
575230	2017-02-04 00:00:00	2017	2017	2	3.12	3.12	3.12
575230	2017-02-05 00:00:00	2017	2017	2	3.27	3.27	3.27
575230	2017-02-06 00:00:00	2017	2017	2	2.84	2.84	2.84
575230	2017-02-07 00:00:00	2017	2017	2	2.04	2.04	2.04
575230	2017-02-08 00:00:00	2017	2017	2	1.56	1.56	1.56
575230	2017-02-09 00:00:00	2017	2017	2	1.34	1.34	1.34
575230	2017-02-10 00:00:00	2017	2017	2	1.24	1.24	1.24
575230	2017-02-11 00:00:00	2017	2017	2	1.24	1.24	1.24
575230	2017-02-12 00:00:00	2017	2017	2	1.13	1.13	1.13
575230	2017-02-13 00:00:00	2017	2017	2	1.03	1.03	1.03
575230	2017-02-14 00:00:00	2017	2017	2	1.03	1.03	1.03
575230	2017-02-15 00:00:00	2017	2017	2	1.03	1.03	1.03
575230	2017-02-16 00:00:00	2017	2017	2	1.03	1.03	1.03
575230	2017-02-17 00:00:00	2017	2017	2	1.45	1.45	1.45
575230	2017-02-18 00:00:00	2017	2017	2	1.56	1.56	1.56
575230	2017-02-19 00:00:00	2017	2017	2	1.56	1.56	1.56
575230	2017-02-20 00:00:00	2017	2017	2	1.68	1.68	1.68
575230	2017-02-21 00:00:00	2017	2017	2	3.12	3.12	3.12
575230	2017-02-22 00:00:00	2017	2017	2	2.98	2.98	2.98
575230	2017-02-23 00:00:00	2017	2017	2	7.35	7.35	8.83
575230	2017-02-24 00:00:00	2017	2017	2	6.63	6.63	6.63
575230	2017-02-25 00:00:00	2017	2017	2	4.87	4.87	4.87
575230	2017-02-26 00:00:00	2017	2017	2	3.88	3.88	3.88
575230	2017-02-27 00:00:00	2017	2017	2	3.27	3.27	3.27
575230	2017-02-28 00:00:00	2017	2017	2	3.12	3.12	3.12
575230	2017-03-01 00:00:00	2017	2017	3	3.72	3.72	3.72
575230	2017-03-02 00:00:00	2017	2017	3	4.37	4.37	4.37
575230	2017-03-03 00:00:00	2017	2017	3	4.2	4.2	4.2
575230	2017-03-04 00:00:00	2017	2017	3	3.88	3.88	3.88
575230	2017-03-05 00:00:00	2017	2017	3	3.27	3.27	3.27
575230	2017-03-06 00:00:00	2017	2017	3	3.27	3.27	3.27
575230	2017-03-07 00:00:00	2017	2017	3	3.72	3.72	3.72
575230	2017-03-08 00:00:00	2017	2017	3	3.72	3.72	3.72
575230	2017-03-09 00:00:00	2017	2017	3	7.16	7.16	8.64
575230	2017-03-10 00:00:00	2017	2017	3	6.98	6.98	6.98
575230	2017-03-11 00:00:00	2017	2017	3	5.39	5.39	5.39
575230	2017-03-12 00:00:00	2017	2017	3	4.7	4.7	4.7
575230	2017-03-13 00:00:00	2017	2017	3	4.04	4.04	4.04
575230	2017-03-14 00:00:00	2017	2017	3	3.57	3.57	3.57
575230	2017-03-15 00:00:00	2017	2017	3	3.27	3.27	3.27
575230	2017-03-16 00:00:00	2017	2017	3	2.98	2.98	2.98
575230	2017-03-17 00:00:00	2017	2017	3	2.84	2.84	2.84
575230	2017-03-18 00:00:00	2017	2017	3	3.12	3.12	3.12
575230	2017-03-19 00:00:00	2017	2017	3	3.27	3.27	3.27
575230	2017-03-20 00:00:00	2017	2017	3	2.98	2.98	2.98
575230	2017-03-21 00:00:00	2017	2017	3	2.84	2.84	2.84
575230	2017-03-22 00:00:00	2017	2017	3	2.7	2.7	2.7
575230	2017-03-23 00:00:00	2017	2017	3	2.56	2.56	2.56
575230	2017-03-24 00:00:00	2017	2017	3	2.43	2.43	2.43
575230	2017-03-25 00:00:00	2017	2017	3	2.17	2.17	2.17
575230	2017-03-26 00:00:00	2017	2017	3	2.04	2.04	2.04
575230	2017-03-27 00:00:00	2017	2017	3	2.04	2.04	2.04
575230	2017-03-28 00:00:00	2017	2017	3	1.92	1.92	1.92
575230	2017-03-29 00:00:00	2017	2017	3	1.8	1.8	1.8
575230	2017-03-30 00:00:00	2017	2017	3	1.8	1.8	1.8
575230	2017-03-31 00:00:00	2017	2017	3	1.8	1.8	1.8
575230	2017-04-01 00:00:00	2017	2017	4	1.92	1.92	1.92
575230	2017-04-02 00:00:00	2017	2017	4	2.7	2.7	4.54
575230	2017-04-03 00:00:00	2017	2017	4	2.17	2.17	2.17
575230	2017-04-04 00:00:00	2017	2017	4	2.04	2.04	2.04
575230	2017-04-05 00:00:00	2017	2017	4	2.04	2.04	2.04
575230	2017-04-06 00:00:00	2017	2017	4	1.92	1.92	1.92
575230	2017-04-07 00:00:00	2017	2017	4	1.8	1.8	1.8
575230	2017-04-08 00:00:00	2017	2017	4	1.92	1.92	1.92
575230	2017-04-09 00:00:00	2017	2017	4	1.92	1.92	1.92
575230	2017-04-10 00:00:00	2017	2017	4	1.92	1.92	1.92
575230	2017-04-11 00:00:00	2017	2017	4	2.04	2.04	2.04
575230	2017-04-12 00:00:00	2017	2017	4	2.04	2.04	2.04
575230	2017-04-13 00:00:00	2017	2017	4	2.43	2.43	2.43
575230	2017-04-14 00:00:00	2017	2017	4	2.17	2.17	2.17
575230	2017-04-15 00:00:00	2017	2017	4	2.04	2.04	2.04
575230	2017-04-16 00:00:00	2017	2017	4	2.04	2.04	2.04
575230	2017-04-17 00:00:00	2017	2017	4	2.29	2.29	2.29
575230	2017-04-18 00:00:00	2017	2017	4	2.17	2.17	2.17
575230	2017-04-19 00:00:00	2017	2017	4	1.92	1.92	1.92
575230	2017-04-20 00:00:00	2017	2017	4	1.92	1.92	1.92
575230	2017-04-21 00:00:00	2017	2017	4	1.92	1.92	1.92
575230	2017-04-22 00:00:00	2017	2017	4	1.92	1.92	1.92
575230	2017-04-23 00:00:00	2017	2017	4	2.04	2.04	2.04
575230	2017-04-24 00:00:00	2017	2017	4	1.92	1.92	1.92
575230	2017-04-25 00:00:00	2017	2017	4	1.92	1.92	1.92
575230	2017-04-26 00:00:00	2017	2017	4	1.68	1.68	1.68
575230	2017-04-27 00:00:00	2017	2017	4	1.56	1.56	1.56
575230	2017-04-28 00:00:00	2017	2017	4	1.45	1.45	1.45
575230	2017-04-29 00:00:00	2017	2017	4	1.34	1.34	1.34
575230	2017-04-30 00:00:00	2017	2017	4	1.34	1.34	1.34
575230	2017-05-01 00:00:00	2017	2017	5	1.34	1.34	1.34
575230	2017-05-02 00:00:00	2017	2017	5	1.34	1.34	1.34
575230	2017-05-03 00:00:00	2017	2017	5	1.8	1.8	1.8
575230	2017-05-04 00:00:00	2017	2017	5	1.24	1.24	1.24
575230	2017-05-05 00:00:00	2017	2017	5	0.936	0.936	0.936
575230	2017-05-06 00:00:00	2017	2017	5	0.839	0.839	0.839
575230	2017-05-07 00:00:00	2017	2017	5	0.936	0.936	0.936
575230	2017-05-08 00:00:00	2017	2017	5	1.13	1.13	1.13
575230	2017-05-09 00:00:00	2017	2017	5	1.13	1.13	1.13
575230	2017-05-10 00:00:00	2017	2017	5	1.13	1.13	1.13
575230	2017-05-11 00:00:00	2017	2017	5	1.24	1.24	1.24
575230	2017-05-12 00:00:00	2017	2017	5	1.45	1.45	3.72
575230	2017-05-13 00:00:00	2017	2017	5	1.34	1.34	1.34
575230	2017-05-14 00:00:00	2017	2017	5	1.45	1.45	1.45
575230	2017-05-15 00:00:00	2017	2017	5	1.56	1.56	1.56
575230	2017-05-16 00:00:00	2017	2017	5	1.34	1.34	1.34
575230	2017-05-17 00:00:00	2017	2017	5	1.24	1.24	1.24
575230	2017-05-18 00:00:00	2017	2017	5	1.24	1.24	1.24
575230	2017-05-19 00:00:00	2017	2017	5	1.34	1.34	1.34
575230	2017-05-20 00:00:00	2017	2017	5	1.92	1.92	1.92
575230	2017-05-21 00:00:00	2017	2017	5	1.34	1.34	1.34
575230	2017-05-22 00:00:00	2017	2017	5	1.24	1.24	1.24
575230	2017-05-23 00:00:00	2017	2017	5	1.13	1.13	1.13
575230	2017-05-24 00:00:00	2017	2017	5	1.03	1.03	1.03
575230	2017-05-25 00:00:00	2017	2017	5	1.13	1.13	1.13
575230	2017-05-26 00:00:00	2017	2017	5	1.03	1.03	1.03
575230	2017-05-27 00:00:00	2017	2017	5	1.13	1.13	1.13
575230	2017-05-28 00:00:00	2017	2017	5	1.03	1.03	1.03
575230	2017-05-29 00:00:00	2017	2017	5	1.13	1.13	1.13
575230	2017-05-30 00:00:00	2017	2017	5	1.03	1.03	1.03
575230	2017-05-31 00:00:00	2017	2017	5	1.34	1.34	1.34
575230	2017-06-01 00:00:00	2017	2017	6	1.03	1.03	1.03
575230	2017-06-02 00:00:00	2017	2017	6	0.936	0.936	0.936
575230	2017-06-03 00:00:00	2017	2017	6	1.24	1.24	1.24
575230	2017-06-04 00:00:00	2017	2017	6	2.29	2.29	2.29
575230	2017-06-05 00:00:00	2017	2017	6	0.839	0.839	0.839
575230	2017-06-06 00:00:00	2017	2017	6	0.667	0.667	0.667
575230	2017-06-07 00:00:00	2017	2017	6	0.839	0.839	0.839
575230	2017-06-08 00:00:00	2017	2017	6	0.753	0.753	0.753
575230	2017-06-09 00:00:00	2017	2017	6	0.667	0.667	0.667
575230	2017-06-10 00:00:00	2017	2017	6	0.667	0.667	0.667
575230	2017-06-11 00:00:00	2017	2017	6	0.667	0.667	0.667
575230	2017-06-12 00:00:00	2017	2017	6	0.667	0.667	0.667
575230	2017-06-13 00:00:00	2017	2017	6	0.581	0.581	0.581
575230	2017-06-14 00:00:00	2017	2017	6	0.667	0.667	0.667
575230	2017-06-15 00:00:00	2017	2017	6	0.753	0.753	0.753
575230	2017-06-16 00:00:00	2017	2017	6	1.03	1.03	1.03
575230	2017-06-17 00:00:00	2017	2017	6	0.753	0.753	0.753
575230	2017-06-18 00:00:00	2017	2017	6	0.753	0.753	0.753
575230	2017-06-19 00:00:00	2017	2017	6	0.839	0.839	0.839
575230	2017-06-20 00:00:00	2017	2017	6	0.753	0.753	0.753
575230	2017-06-21 00:00:00	2017	2017	6	0.753	0.753	0.753
575230	2017-06-22 00:00:00	2017	2017	6	1.45	1.45	1.45
575230	2017-06-23 00:00:00	2017	2017	6	3.57	3.57	8.08
575230	2017-06-24 00:00:00	2017	2017	6	0.839	0.839	0.839
575230	2017-06-25 00:00:00	2017	2017	6	0.667	0.667	0.667
575230	2017-06-26 00:00:00	2017	2017	6	0.667	0.667	0.667
575230	2017-06-27 00:00:00	2017	2017	6	0.753	0.753	0.753
575230	2017-06-28 00:00:00	2017	2017	6	1.13	1.13	1.13
575230	2017-06-29 00:00:00	2017	2017	6	1.56	1.56	1.56
575230	2017-06-30 00:00:00	2017	2017	6	1.24	1.24	1.24
575230	2017-07-01 00:00:00	2017	2017	7	1.03	1.03	1.03
575230	2017-07-02 00:00:00	2017	2017	7	1.24	1.24	1.24
575230	2017-07-03 00:00:00	2017	2017	7	1.13	1.13	1.13
575230	2017-07-04 00:00:00	2017	2017	7	0.936	0.936	0.936
575230	2017-07-05 00:00:00	2017	2017	7	0.936	0.936	0.936
575230	2017-07-06 00:00:00	2017	2017	7	0.936	0.936	0.936
575230	2017-07-07 00:00:00	2017	2017	7	0.839	0.839	0.839
575230	2017-07-08 00:00:00	2017	2017	7	0.936	0.936	0.936
575230	2017-07-09 00:00:00	2017	2017	7	0.839	0.839	0.839
575230	2017-07-10 00:00:00	2017	2017	7	1.34	1.34	1.34
575230	2017-07-11 00:00:00	2017	2017	7	1.8	1.8	1.8
575230	2017-07-12 00:00:00	2017	2017	7	1.13	1.13	1.13
575230	2017-07-13 00:00:00	2017	2017	7	2.17	2.17	2.17
575230	2017-07-14 00:00:00	2017	2017	7	1.24	1.24	1.24
575230	2017-07-15 00:00:00	2017	2017	7	1.45	1.45	1.45
575230	2017-07-16 00:00:00	2017	2017	7	1.13	1.13	1.13
575230	2017-07-17 00:00:00	2017	2017	7	1.03	1.03	1.03
575230	2017-07-18 00:00:00	2017	2017	7	0.936	0.936	0.936
575230	2017-07-19 00:00:00	2017	2017	7	1.03	1.03	1.03
575230	2017-07-20 00:00:00	2017	2017	7	2.29	2.29	2.29
575230	2017-07-21 00:00:00	2017	2017	7	1.13	1.13	1.13
575230	2017-07-22 00:00:00	2017	2017	7	1.24	1.24	1.24
575230	2017-07-23 00:00:00	2017	2017	7	3.12	3.12	3.12
575230	2017-07-24 00:00:00	2017	2017	7	2.29	2.29	2.29
575230	2017-07-25 00:00:00	2017	2017	7	14	14	14
575230	2017-07-26 00:00:00	2017	2017	7	23.2	23.2	26.1
575230	2017-07-27 00:00:00	2017	2017	7	14.4	14.4	14.4
575230	2017-07-28 00:00:00	2017	2017	7	11.4	11.4	11.4
575230	2017-07-29 00:00:00	2017	2017	7	6.81	6.81	6.81
575230	2017-07-30 00:00:00	2017	2017	7	5.92	5.92	5.92
575230	2017-07-31 00:00:00	2017	2017	7	4.7	4.7	4.7
575230	2017-08-01 00:00:00	2017	2017	8	9.22	9.22	15.8
575230	2017-08-02 00:00:00	2017	2017	8	6.45	6.45	6.45
575230	2017-08-03 00:00:00	2017	2017	8	5.57	5.57	5.57
575230	2017-08-04 00:00:00	2017	2017	8	4.54	4.54	4.54
575230	2017-08-05 00:00:00	2017	2017	8	3.72	3.72	3.72
575230	2017-08-06 00:00:00	2017	2017	8	3.27	3.27	3.27
575230	2017-08-07 00:00:00	2017	2017	8	2.56	2.56	2.56
575230	2017-08-08 00:00:00	2017	2017	8	2.29	2.29	2.29
575230	2017-08-09 00:00:00	2017	2017	8	2.29	2.29	2.29
575230	2017-08-10 00:00:00	2017	2017	8	2.29	2.29	2.29
575230	2017-08-11 00:00:00	2017	2017	8	3.88	3.88	3.88
575230	2017-08-12 00:00:00	2017	2017	8	4.7	4.7	4.7
575230	2017-08-13 00:00:00	2017	2017	8	3.12	3.12	3.12
575230	2017-08-14 00:00:00	2017	2017	8	2.56	2.56	2.56
575230	2017-08-15 00:00:00	2017	2017	8	2.29	2.29	2.29
575230	2017-08-16 00:00:00	2017	2017	8	2.84	2.84	2.84
575230	2017-08-17 00:00:00	2017	2017	8	2.43	2.43	2.43
575230	2017-08-18 00:00:00	2017	2017	8	2.43	2.43	2.43
575230	2017-08-19 00:00:00	2017	2017	8	6.1	6.1	6.1
575230	2017-08-20 00:00:00	2017	2017	8	3.27	3.27	3.27
575230	2017-08-21 00:00:00	2017	2017	8	2.84	2.84	2.84
575230	2017-08-22 00:00:00	2017	2017	8	2.43	2.43	2.43
575230	2017-08-23 00:00:00	2017	2017	8	2.29	2.29	2.29
575230	2017-08-24 00:00:00	2017	2017	8	2.17	2.17	2.17
575230	2017-08-25 00:00:00	2017	2017	8	2.04	2.04	2.04
575230	2017-08-26 00:00:00	2017	2017	8	2.43	2.43	2.43
575230	2017-08-27 00:00:00	2017	2017	8	2.29	2.29	2.29
575230	2017-08-28 00:00:00	2017	2017	8	2.04	2.04	2.04
575230	2017-08-29 00:00:00	2017	2017	8	1.92	1.92	1.92
575230	2017-08-30 00:00:00	2017	2017	8	1.92	1.92	1.92
575230	2017-08-31 00:00:00	2017	2017	8	1.8	1.8	1.8
575230	2017-09-01 00:00:00	2017	2017	9	1.92	1.92	1.92
575230	2017-09-02 00:00:00	2017	2017	9	1.8	1.8	1.8
575230	2017-09-03 00:00:00	2017	2017	9	2.04	2.04	2.56
575230	2017-09-04 00:00:00	2017	2017	9	1.68	1.68	1.68
575230	2017-09-05 00:00:00	2017	2017	9	1.68	1.68	1.68
575230	2017-09-06 00:00:00	2017	2017	9	1.68	1.68	1.68
575230	2017-09-07 00:00:00	2017	2017	9	1.68	1.68	1.68
575230	2017-09-08 00:00:00	2017	2017	9	1.56	1.56	1.56
575230	2017-09-09 00:00:00	2017	2017	9	1.45	1.45	1.45
575230	2017-09-10 00:00:00	2017	2017	9	1.8	1.8	1.8
575230	2017-09-11 00:00:00	2017	2017	9	1.45	1.45	1.45
575230	2017-09-12 00:00:00	2017	2017	9	1.45	1.45	1.45
575230	2017-09-13 00:00:00	2017	2017	9	1.34	1.34	1.34
575230	2017-09-14 00:00:00	2017	2017	9	1.68	1.68	1.68
575230	2017-09-15 00:00:00	2017	2017	9	1.92	1.92	1.92
575230	2017-09-16 00:00:00	2017	2017	9	1.56	1.56	1.56
575230	2017-09-17 00:00:00	2017	2017	9	1.45	1.45	1.45
575230	2017-09-18 00:00:00	2017	2017	9	1.45	1.45	1.45
575230	2017-09-19 00:00:00	2017	2017	9	1.24	1.24	1.24
575230	2017-09-20 00:00:00	2017	2017	9	1.24	1.24	1.24
575230	2017-09-21 00:00:00	2017	2017	9	1.24	1.24	1.24
575230	2017-09-22 00:00:00	2017	2017	9	1.13	1.13	1.13
575230	2017-09-23 00:00:00	2017	2017	9	1.03	1.03	1.03
575230	2017-09-24 00:00:00	2017	2017	9	1.03	1.03	1.03
575230	2017-09-25 00:00:00	2017	2017	9	1.13	1.13	1.13
575230	2017-09-26 00:00:00	2017	2017	9	1.24	1.24	1.24
575230	2017-09-27 00:00:00	2017	2017	9	1.03	1.03	1.03
575230	2017-09-28 00:00:00	2017	2017	9	0.936	0.936	0.936
575230	2017-09-29 00:00:00	2017	2017	9	0.936	0.936	0.936
575230	2017-09-30 00:00:00	2017	2017	9	1.13	1.13	1.13
575230	2017-10-01 00:00:00	2017	2017	10	1.56	1.56	1.56
575230	2017-10-02 00:00:00	2017	2017	10	1.13	1.13	1.13
575230	2017-10-03 00:00:00	2017	2017	10	2.17	2.17	3.88
575230	2017-10-04 00:00:00	2017	2017	10	1.8	1.8	1.8
575230	2017-10-05 00:00:00	2017	2017	10	1.68	1.68	1.68
575230	2017-10-06 00:00:00	2017	2017	10	2.56	2.56	2.56
575230	2017-10-07 00:00:00	2017	2017	10	2.43	2.43	2.43
575230	2017-10-08 00:00:00	2017	2017	10	2.43	2.43	2.43
575230	2017-10-09 00:00:00	2017	2017	10	2.56	2.56	2.56
575230	2017-10-10 00:00:00	2017	2017	10	2.43	2.43	2.43
575230	2017-10-11 00:00:00	2017	2017	10	2.43	2.43	2.43
575230	2017-10-12 00:00:00	2017	2017	10	2.04	2.04	2.04
575230	2017-10-13 00:00:00	2017	2017	10	1.68	1.68	1.68
575230	2017-10-14 00:00:00	2017	2017	10	1.45	1.45	1.45
575230	2017-10-15 00:00:00	2017	2017	10	1.34	1.34	1.34
575230	2017-10-16 00:00:00	2017	2017	10	1.34	1.34	1.34
575230	2017-10-17 00:00:00	2017	2017	10	1.24	1.24	1.24
575230	2017-10-18 00:00:00	2017	2017	10	1.13	1.13	1.13
575230	2017-10-19 00:00:00	2017	2017	10	1.13	1.13	1.13
575230	2017-10-20 00:00:00	2017	2017	10	1.03	1.03	1.03
575230	2017-10-21 00:00:00	2017	2017	10	1.03	1.03	1.03
575230	2017-10-22 00:00:00	2017	2017	10	1.24	1.24	1.24
575230	2017-10-23 00:00:00	2017	2017	10	1.13	1.13	1.13
575230	2017-10-24 00:00:00	2017	2017	10	1.24	1.24	1.24
575230	2017-10-25 00:00:00	2017	2017	10	1.13	1.13	1.13
